tick,agent_id,personality,position,inventory,action_type,action_detail,result,message,resources_remaining
1,A3,deceptive,"(5, 5)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,30
1,A4,cooperative,"(5, 9)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,30
1,A2,cooperative,"(0, 9)",0,move,"{'type': 'move', 'direction': 'S'}",moved_S,,30
1,A1,aggressive,"(5, 6)",1,collect,{'type': 'collect'},collected,,29
2,A1,aggressive,"(5, 6)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raid_empty,,29
2,A3,deceptive,"(5, 5)",1,raid,"{'type': 'raid', 'target_id': 'A1'}",raided_A1_stole_1,,29
2,A2,cooperative,"(0, 9)",1,collect,{'type': 'collect'},collected,,28
2,A4,cooperative,"(4, 9)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,28
3,A1,aggressive,"(5, 6)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,28
3,A2,cooperative,"(0, 9)",1,move,"{'type': 'move', 'direction': 'S'}",move_blocked,,28
3,A4,cooperative,"(3, 9)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,28
3,A3,deceptive,"(5, 5)",1,raid,"{'type': 'raid', 'target_id': 'A1'}",raided_A1_stole_1,,28
4,A4,cooperative,"(2, 9)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,28
4,A2,cooperative,"(0, 9)",1,move,"{'type': 'move', 'direction': 'S'}",move_blocked,,28
4,A1,aggressive,"(5, 6)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,28
4,A3,deceptive,"(5, 5)",1,raid,"{'type': 'raid', 'target_id': 'A1'}",raided_A1_stole_1,,28
5,A2,cooperative,"(0, 9)",1,move,"{'type': 'move', 'direction': 'S'}",move_blocked,,28
5,A1,aggressive,"(5, 6)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,28
5,A4,cooperative,"(2, 9)",1,collect,{'type': 'collect'},collected,,27
5,A3,deceptive,"(5, 5)",1,raid,"{'type': 'raid', 'target_id': 'A1'}",raided_A1_stole_1,,27
6,A2,cooperative,"(0, 9)",1,move,"{'type': 'move', 'direction': 'S'}",move_blocked,,27
6,A4,cooperative,"(1, 9)",1,move,"{'type': 'move', 'direction': 'W'}",moved_W,,27
6,A3,deceptive,"(5, 5)",1,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,27
6,A1,aggressive,"(5, 6)",1,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_1,,27
7,A2,cooperative,"(0, 8)",1,move,"{'type': 'move', 'direction': 'N'}",moved_N,,27
7,A4,cooperative,"(1, 8)",1,move,"{'type': 'move', 'direction': 'N'}",moved_N,,27
